Sentence	ID	表層形	原形	品詞
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"し"	"する"	"動詞-自立"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"てる"	"てる"	"動詞-非自立"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"やん"	"やん"	"助動詞"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"!"	"!"	"記号-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"外食"	"外食"	"名詞-サ変接続"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"する"	"する"	"動詞-自立"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"気"	"気"	"名詞-非自立-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"満々"	"満々"	"名詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"で"	"で"	"助詞-格助詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"家"	"家"	"名詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"に"	"に"	"助詞-格助詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"何"	"何"	"名詞-代名詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"も"	"も"	"助詞-係助詞"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"ない"	"ない"	"形容詞-自立"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"のに"	"のに"	"助詞-接続助詞"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"!"	"!"	"記号-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"テレビ"	"テレビ"	"名詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"から"	"から"	"助詞-格助詞-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"離れ"	"離れる"	"動詞-自立"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"られ"	"られる"	"動詞-接尾"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"ない"	"ない"	"助動詞"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"…"	"…"	"記号-一般"
"ただいま? って新体操してるやん!外食する気満々で家に何もないのに!テレビから離れられない…!"	5	"!"	"!"	"記号-一般"
"表情筋が衰えてきてる｡まずいな…"	6	"表情"	"表情"	"名詞-一般"
"表情筋が衰えてきてる｡まずいな…"	6	"筋"	"筋"	"名詞-接尾-一般"
"表情筋が衰えてきてる｡まずいな…"	6	"が"	"が"	"助詞-格助詞-一般"
"表情筋が衰えてきてる｡まずいな…"	6	"衰え"	"衰える"	"動詞-自立"
"表情筋が衰えてきてる｡まずいな…"	6	"て"	"て"	"助詞-接続助詞"
"表情筋が衰えてきてる｡まずいな…"	6	"き"	"くる"	"動詞-非自立"
"表情筋が衰えてきてる｡まずいな…"	6	"てる"	"てる"	"動詞-非自立"
"表情筋が衰えてきてる｡まずいな…"	6	"｡"	"｡"	"記号-一般"
"表情筋が衰えてきてる｡まずいな…"	6	"まずい"	"まずい"	"形容詞-自立"
"表情筋が衰えてきてる｡まずいな…"	6	"な"	"な"	"助詞-終助詞"
"表情筋が衰えてきてる｡まずいな…"	6	"…"	"…"	"記号-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"やばい"	"やばい"	"形容詞-自立"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"｡"	"｡"	"記号-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"おもろい"	"おもろい"	"形容詞-自立"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"な"	"な"	"助詞-終助詞"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"?"	"?"	"記号-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"思っ"	"思う"	"動詞-自立"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"て"	"て"	"助詞-接続助詞"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"み"	"みる"	"動詞-非自立"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"て"	"て"	"助詞-接続助詞"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"み"	"みる"	"動詞-非自立"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"た"	"た"	"助動詞"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"「"	"「"	"記号-括弧開"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"シャレード"	"シャレード"	"名詞-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"が"	"が"	"助詞-格助詞-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"いっぱい"	"いっぱい"	"副詞-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"」｡"	"」｡"	"記号-一般"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"よ"	"よ"	"助詞-終助詞"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"すぎる"	"すぎる"	"動詞-自立"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"やん"	"やん"	"助動詞"
"やばい｡おもろいな?思ってみてみた「シャレードがいっぱい」｡よすぎるやん。"	7	"。"	"。"	"記号-句点"
"おなかすいた…夜ご飯仲間募集｡"	8	"おなか"	"おなか"	"名詞-一般"
"おなかすいた…夜ご飯仲間募集｡"	8	"すい"	"すく"	"動詞-自立"
"おなかすいた…夜ご飯仲間募集｡"	8	"た"	"た"	"助動詞"
"おなかすいた…夜ご飯仲間募集｡"	8	"…"	"…"	"記号-一般"
"おなかすいた…夜ご飯仲間募集｡"	8	"夜"	"夜"	"名詞-副詞可能"
"おなかすいた…夜ご飯仲間募集｡"	8	"ご飯"	"ご飯"	"名詞-一般"
"おなかすいた…夜ご飯仲間募集｡"	8	"仲間"	"仲間"	"名詞-一般"
"おなかすいた…夜ご飯仲間募集｡"	8	"募集"	"募集"	"名詞-サ変接続"
"おなかすいた…夜ご飯仲間募集｡"	8	"｡"	"｡"	"記号-一般"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"よく"	"よく"	"副詞-一般"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"寝"	"寝る"	"動詞-自立"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"た"	"た"	"助動詞"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"。"	"。"	"記号-句点"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"暴走"	"暴走"	"名詞-サ変接続"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"バス"	"バス"	"名詞-一般"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"の"	"の"	"助詞-連体化"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"夢見"	"夢見る"	"動詞-自立"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"た"	"た"	"助動詞"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"。"	"。"	"記号-句点"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"から"	"から"	"助詞-格助詞-一般"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"だいたい"	"だいたい"	"副詞-一般"
"よく寝た。暴走バスの夢見た。からだいたい。"	9	"。"	"。"	"記号-句点"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"最近"	"最近"	"名詞-副詞可能"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"アップ"	"アップ"	"名詞-サ変接続"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"に"	"に"	"助詞-格助詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"し"	"する"	"動詞-自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"て"	"て"	"助詞-接続助詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"い"	"いる"	"動詞-非自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"た"	"た"	"助動詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"ので"	"ので"	"助詞-接続助詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"気づか"	"気づく"	"動詞-自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"なかっ"	"ない"	"助動詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"た"	"た"	"助動詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"けど"	"けど"	"助詞-接続助詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"、"	"、"	"記号-読点"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"ちゃんと"	"ちゃんと"	"副詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"ブロー"	"ブロー"	"名詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"し"	"する"	"動詞-自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"たら"	"た"	"助動詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"モテキ"	"モテキ"	"名詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"小宮山"	"小宮山"	"名詞-固有名詞-人名-姓"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"夏樹"	"夏樹"	"名詞-固有名詞-人名-名"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"("	"("	"記号-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"後期"	"後期"	"名詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	")"	")"	"記号-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"に"	"に"	"助詞-格助詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"似"	"似る"	"動詞-自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"て"	"て"	"助詞-接続助詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"き"	"くる"	"動詞-非自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"てる"	"てる"	"動詞-非自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"｡"	"｡"	"記号-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"この"	"この"	"連体詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"感じ"	"感じ"	"名詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"定着"	"定着"	"名詞-サ変接続"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"し"	"する"	"動詞-自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"たら"	"た"	"助動詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"パーマ"	"パーマ"	"名詞-一般"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"し"	"する"	"動詞-自立"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"よ"	"よ"	"助詞-終助詞"
"最近アップにしていたので気づかなかったけど、ちゃんとブローしたらモテキ小宮山夏樹(後期)に似てきてる｡この感じ定着したらパーマしよ。"	10	"。"	"。"	"記号-句点"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"月末"	"月末"	"名詞-副詞可能"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"ミーティング"	"ミーティング"	"名詞-サ変接続"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"終了"	"終了"	"名詞-サ変接続"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"｡"	"｡"	"記号-一般"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"いつも"	"いつも"	"副詞-一般"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"の"	"の"	"助詞-連体化"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"こと"	"こと"	"名詞-非自立-一般"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"だ"	"だ"	"助動詞"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"が"	"が"	"助詞-接続助詞"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"自分"	"自分"	"名詞-一般"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"の"	"の"	"助詞-連体化"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"ミーティング"	"ミーティング"	"名詞-一般"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"力"	"力"	"名詞-接尾-一般"
"月末ミーティング終了｡いつものことだが自分のミーティング力のなさに凹む。もう走り出すしかない。バッティングセンターいこうぜ!"	11	"の"	"の"	"助詞-連体化"
